"","X","document","Flesch.Kincaid","Dale.Chall","ELF","FOG.NRI","rowcount0s","rowcount1s","rowcount2s","rowcount3s","rowcount4s"
"REBORN",724,"REBORN",11.1820689655172,34.1624137931034,6,3.285,1777,15,15,16,3392
"RELACTIV",727,"RELACTIV",11.7627272727273,35.8654545454545,7,1.58,1798,5,9,11,3392
"RELIG",769,"RELIG",7.6,22.55,2,-1.275,1823,0,0,0,3392
"RELITEN",774,"RELITEN",8.39294117647059,29.9170588235294,6,0.285,1823,0,0,0,3392
"RELPERSN",778,"RELPERSN",10.9558695652174,18.8910869565217,6,0.6275,1806,10,1,6,3392
"RESPECT",797,"RESPECT",6.30571428571429,47.5542857142857,4.5,0.74,1823,0,0,0,3392
"RICHWORK",803,"RICHWORK",11.3451612903226,36.4809677419355,5,3.925,715,0,19,5,4476
"RIFLE",804,"RIFLE",3.755,34.73,3,-1.18,1198,18,2,0,3997
"RINCOM16",806,"RINCOM16",3.77326086956522,43.6736956521739,2.5,-0.0625,1098,70,0,16,4031
"ROWNGUN",809,"ROWNGUN",6.27555555555556,47.2344444444444,3,-1.005,467,0,0,2,4746
"SATFIN",820,"SATFIN",11.4945454545455,33.7063636363636,7,5.1,1819,1,1,2,3392
"SATJOB",821,"SATJOB",14.6066666666667,24.2588888888889,9,3.765,1219,6,28,8,3954
"SAVESOUL",825,"SAVESOUL",9.45714285714286,22.3671428571429,8,0.915,1802,2,9,10,3392
"SEX",854,"SEX",3.65333333333334,15.5677777777778,3,-1.095,1813,0,10,0,3392
"SEXBIRTH",855,"SEXBIRTH",3.65,38.1,2,-0.9,1823,0,0,0,3392
"SEXEDUC",856,"SEXEDUC",5.80666666666667,39.8866666666667,3,-0.66,1174,3,1,0,4037
"SEXNOW",858,"SEXNOW",6.27555555555556,36.6788888888889,4,-1.005,1823,0,0,0,3392
"SHOTGUN",862,"SHOTGUN",3.755,34.73,3,-1.18,1198,18,2,0,3997
"SOCBAR",870,"SOCBAR",2.47,47.6,2,-1,1178,0,0,1,4036
"SOCFREND",871,"SOCFREND",6.78,47.3166666666667,5,-0.225,1175,2,0,2,4036
"SOCOMMUN",872,"SOCOMMUN",6.78,47.3166666666667,5,-0.225,1176,2,1,0,4036
"SOCREL",873,"SOCREL",6.01,38.1,4,-0.9,1175,4,0,0,4036
"SPANKING",877,"SPANKING",12.875652173913,31.6082608695652,10,2.065,1164,7,0,8,4036
"SPDEN",880,"SPDEN",10.74,32.0271428571429,3,-1.115,1823,0,0,0,3392
"SPEVWORK",882,"SPEVWORK",3.09538461538461,40.4146153846154,2,-0.655,323,0,2,3,4887
"SPJEW",891,"SPJew",9.78117647058824,7.56411764705883,6,0.455,1823,0,0,0,3392
"SPKATH",892,"SPKATH",9.08204081632653,43.0361224489796,6.33333333333333,3.645,601,3,0,2,4609
"SPKCOM",893,"SPKCOM",5.80789473684211,42.76,3.33333333333333,1.41333333333333,597,3,2,4,4609
"SPKLANG",895,"SPKLANG",0.625714285714285,59.17,1,-1.255,432,0,26,0,4757
"SPKMIL",896,"SPKMIL",9.78555555555556,38.3855555555556,6.5,2.64,595,5,1,5,4609
"SPKMSLM",897,"SPKMSLM",9.52,30.89,6.5,3.06,597,3,2,4,4609
"SPKRAC",898,"SPKRAC",9.78555555555556,35.7466666666667,5.5,2.64,595,4,2,5,4609
"SPRTPRSN",905,"SPRTPRSN",13.5210869565217,18.8910869565217,6,0.6275,1800,8,6,9,3392
"SPWKSUP",910,"SPWKSUP",10.0190476190476,26.8909523809524,5,1.545,1823,0,0,0,3392
"SUICIDE1",920,"SUICIDE1",8.00818181818182,40.1836363636364,4,1.14,1157,13,2,8,4035
"SUICIDE2",921,"SUICIDE2",6.08571428571429,44.9861904761905,3,0.705,1168,8,0,4,4035
"SUICIDE3",922,"SUICIDE3",8.52,43.4816666666667,4,1.86,1168,5,1,6,4035
"SUICIDE4",923,"SUICIDE4",8.61923076923077,46.06,5,1.88,1162,6,3,9,4035
"TAX",927,"TAX",8.77130434782609,35.7386956521739,5,1.605,1190,16,2,8,3999
"TEENSEX",930,"TEENSEX",6.72526315789474,38.39,4.5,2.3,1167,3,2,7,4036
"THREATEN",934,"THREATEN",4.25454545454546,47.7736363636364,3,-0.18,1198,3,1,3,4010
"USCITZN",954,"USCITZN",2.31142857142857,25.2414285714286,1,-0.94,1810,0,0,4,3401
"USEWWW",957,"USEWWW",5.20666666666667,40.9833333333333,3,-0.225,108,0,0,0,5107
"USWARY",958,"USWARY",7.00470588235294,46.6817647058824,4,0.285,549,23,1,2,4640
"VOTE16",976,"VOTE16",10.5116666666667,23.8271212121212,6.5,2.3775,1710,0,109,4,3392
"WEBMOB",983,"WEBMOB",11.5474074074074,20.7403703703704,7,3.225,172,0,9,0,5034
"WIDOWED",1002,"WIDOWED",2.88,41.55,2,-1.375,1229,0,1,3,3982
"WRKGOVT",1042,"WRKGOVT",15.6380952380952,-0.251904761904758,11,1.965,1743,24,1,19,3428
"WRKSLFFAM",1046,"WRKSLFFAM",5.99333333333333,40.9833333333333,4,-0.225,1823,0,0,0,3392
"WRKSTAT",1047,"WRKSTAT",4.19857142857143,49.8161904761905,3,1.44,1821,0,0,2,3392
"WRKWAYUP",1050,"WRKWAYUP",13.7025609756098,19.7330487804878,12,4.3425,1168,8,1,1,4037
"XMARSEX",1056,"XMARSEX",15.8739393939394,32.5936363636364,16,4.935,1204,6,1,5,3999
"YOUSUP",1064,"YOUSUP",9.05428571428572,45.5985714285714,4,-1.115,325,2,0,0,4888
